,title,link,Puplished
0,"الغريب on Twitter: ""RT @alrajhibank: #خلك_نبيه وفالك الـ 1,000,000 😎⏳"" - Twitter",https://news.google.com/rss/articles/CBMiOmh0dHBzOi8vdHdpdHRlci5jb20vYWxyYWpoaWJhbmsvc3RhdHVzLzE1ODkwMzgxODc2NzQwNDY0NjXSAQA?oc=5,"Fri, 04 Nov 2022 07:00:00 GMT"
1,Twitter - Twitter,https://news.google.com/rss/articles/CBMiRmh0dHBzOi8vdHdpdHRlci5jb20vYWxyYWpoaWJhbmsvc3RhdHVzLzExMzU4NjM4NjMyMzUzMDU0NzIvbWVkaWF2aWV3ZXLSAQA?oc=5,"Sun, 16 Jul 2023 17:20:04 GMT"
2,"Twitter 上的مصرف الراجحي：""Get a pre-approved credit card without getting into debt with #AlRajhiBank's Tasawaq Card ... - Twitter",https://news.google.com/rss/articles/CBMiRmh0dHBzOi8vdHdpdHRlci5jb20vYWxyYWpoaWJhbmsvc3RhdHVzLzcwNDI5MDA4MDc4MTc4MzA0MT9sYW5nPXpoLUhhbnTSAQA?oc=5,"Mon, 29 Feb 2016 08:00:00 GMT"
3,Lists created by @alrajhibank - Twitter,https://news.google.com/rss/articles/CBMiJWh0dHBzOi8vdHdpdHRlci5jb20vYWxyYWpoaWJhbmsvbGlzdHPSAQA?oc=5,"Sun, 04 Dec 2022 08:05:08 GMT"
4,"上的مصرف الراجحي：""#AlRajhiBank offers a variety of flexible, widely accepted Sharia compliant credit cards https://t.co ... - Twitter",https://news.google.com/rss/articles/CBMiRmh0dHBzOi8vdHdpdHRlci5jb20vYWxyYWpoaWJhbmsvc3RhdHVzLzY5MzM0MjkzOTMxMzg4NTE4ND9sYW5nPXpoLUhhbnTSAQA?oc=5,"Sat, 30 Jan 2016 08:00:00 GMT"
5,"上的مصرف الراجحي：""#AlRajhiBank Platinum Credit Card. Providing high flexibility and wide acceptance around the ... - Twitter",https://news.google.com/rss/articles/CBMiRmh0dHBzOi8vdHdpdHRlci5jb20vYWxyYWpoaWJhbmsvc3RhdHVzLzcwMzU2NTMxOTI5ODY1ODMwND9sYW5nPXpoLUhhbnTSAQA?oc=5,"Sat, 27 Feb 2016 08:00:00 GMT"
6,"مصرف الراجحي on Twitter: ""With the #AlRajhiBank Platinum Credit Card, travelling and changing your home decor ... - Twitter",https://news.google.com/rss/articles/CBMiOWh0dHBzOi8vdHdpdHRlci5jb20vYWxyYWpoaWJhbmsvc3RhdHVzLzY5ODQ5MTg0MzM3NDI0Mzg0MdIBAA?oc=5,"Sat, 13 Feb 2016 08:00:00 GMT"
7,Twitter - Twitter,https://news.google.com/rss/articles/CBMiRmh0dHBzOi8vdHdpdHRlci5jb20vYWxyYWpoaWJhbmsvc3RhdHVzLzExOTUwMDc1NTY0ODc0NTA2MjQvbWVkaWF2aWV3ZXLSAQA?oc=5,"Wed, 02 Aug 2023 22:04:15 GMT"
8,Twitter - Twitter,https://news.google.com/rss/articles/CBMiRmh0dHBzOi8vdHdpdHRlci5jb20vYWxyYWpoaWJhbmsvc3RhdHVzLzE1ODA5OTY5NzA4NTE2ODAyNTYvbWVkaWF2aWV3ZXLSAQA?oc=5,"Mon, 13 Feb 2023 12:56:54 GMT"
9,"مصرف الراجحي on Twitter: ""أجل أقساطك وريح بالك! 🔗https://t.co/PmIMKak880 https://t.co/Z7RXVIaZHS"" - Twitter",https://news.google.com/rss/articles/CBMiOmh0dHBzOi8vdHdpdHRlci5jb20vYWxyYWpoaWJhbmsvc3RhdHVzLzEzNjU5MzEwMTQwODY4Njg5OTXSAQA?oc=5,"Sun, 28 Feb 2021 08:00:00 GMT"
